top - 10:46:34 up 2 min,  2 users,  load average: 0.20, 0.26, 0.11
Tasks:  98 total,   1 running,  97 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  4.3 sy,  0.0 ni, 95.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   1955.4 total,   1603.6 free,    225.8 used,    202.4 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   1729.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    958 ubuntu    20   0   12184   5044   3000 R   9.1   0.3   0:00.02 top
      1 root      20   0   21760  12276   8676 S   0.0   0.6   0:04.15 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     11 root      20   0       0      0      0 I   0.0   0.0   0:00.57 kworker+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftir+
     17 root      20   0       0      0      0 I   0.0   0.0   0:00.28 rcu_pre+
     18 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftir+
     25 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     28 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     29 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
     32 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     34 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kcompac+
     36 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     37 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     40 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     46 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     47 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     54 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     55 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     57 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     58 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     60 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     66 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     68 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     70 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
     72 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    117 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    161 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    200 root      20   0       0      0      0 S   0.0   0.0   0:00.01 jbd2/vd+
    201 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    272 root      19  -1   41896  14408  13324 S   0.0   0.7   0:00.46 systemd+
    292 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    293 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    326 root      rt   0  290144  26232   7448 S   0.0   1.3   0:00.15 multipa+
    333 root      20   0   25380   7108   4520 S   0.0   0.4   0:00.43 systemd+
    345 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    394 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/vd+
    395 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    442 systemd+  20   0   18704   8716   7596 S   0.0   0.4   0:00.14 systemd+
    460 systemd+  20   0   21496  12436  10192 S   0.0   0.6   0:00.34 systemd+
    465 systemd+  20   0   90760   7180   6264 S   0.0   0.4   0:00.16 systemd+
    559 message+  20   0    9840   4688   3880 S   0.0   0.2   0:00.22 dbus-da+
    568 polkitd   20   0  309068   7472   6580 S   0.0   0.4   0:00.21 polkitd
    575 root      20   0   17900   7868   6856 S   0.0   0.4   0:00.19 systemd+
    577 root      20   0  472424  12540  10500 S   0.0   0.6   0:00.28 udisksd
    582 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    587 root      20   0  110896  21980  12624 S   0.0   1.1   0:00.50 unatten+
    601 syslog    20   0  222812   4988   3752 S   0.0   0.2   0:00.15 rsyslogd
    622 root      20   0    7148   2500   2256 S   0.0   0.1   0:00.03 cron
    632 root      20   0  398868  11972   9900 S   0.0   0.6   0:00.41 ModemMa+
    646 root      20   0   11976   4084   3492 S   0.0   0.2   0:00.33 login
    650 root      20   0    5676   1768   1644 S   0.0   0.1   0:00.03 agetty
    736 root      20   0   12048   7284   6196 S   0.0   0.4   0:00.05 sshd
    868 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    870 ubuntu    20   0   19932  10604   8772 S   0.0   0.5   0:00.30 systemd
    871 ubuntu    20   0   22192   3432   1968 S   0.0   0.2   0:00.00 (sd-pam)
    882 ubuntu    20   0    8768   4996   3360 S   0.0   0.2   0:00.13 bash
    901 root      20   0   16296   8880   7448 S   0.0   0.4   0:00.05 sshd
    956 ubuntu    20   0   16516   6416   4756 S   0.0   0.3   0:00.00 sshd
    957 ubuntu    20   0    7448   3120   2868 S   0.0   0.2   0:00.00 bash
---
nr_dirty 54
nr_dirty_threshold 89562
nr_dirty_background_threshold 44726
               total        used        free      shared  buff/cache   available
Mem:            1955         225        1603           1         202        1729
Swap:              0           0           0
