top - 10:46:47 up 2 min,  2 users,  load average: 0.52, 0.33, 0.13
Tasks:  98 total,   1 running,  97 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  8.3 sy,  0.0 ni, 91.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   1955.4 total,    113.8 free,   1712.8 used,   1606.9 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.    242.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1061 ubuntu    20   0   12184   5048   3000 R   8.3   0.3   0:00.03 top
      1 root      20   0   21760  12276   8676 S   0.0   0.6   0:04.20 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_workqueue_release
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-rcu_g
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-rcu_p
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-slub_
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-netns
      8 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0-cgroup_free
      9 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker/0:1-events
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-kblockd
     11 root      20   0       0      0      0 I   0.0   0.0   0:00.57 kworker/u4:0-events_power_eff+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-mm_pe
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_kthread
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_rude_kthread
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_trace_kthread
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftirqd/0
     17 root      20   0       0      0      0 I   0.0   0.0   0:00.29 rcu_preempt
     18 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration/0
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/1
     23 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration/1
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.03 ksoftirqd/1
     25 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0-inet_frag_wq
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-events_highpri
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     28 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-inet_
     29 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker/1:1-events
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungtaskd
     32 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u4:1-events_unbound
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
     34 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-write
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kcompactd0
     36 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     37 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepaged
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kinte
     39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kbloc
     40 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-blkcg
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-tpm_d
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-ata_s
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-md
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-md_bi
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-edac-
     46 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-devfr
     47 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-quota
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:1H-kblockd
     50 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptfs-kthread
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kthro
     53 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-ACPI:Ged
     54 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-acpi_
     55 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/u4:2-events_unbound
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-mld
     57 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:1H
     58 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-ipv6_
     60 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u4:3-events_power_eff+
     66 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kstrp
     68 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u5:0
     70 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker/1:2-cgroup_free
     72 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-charg
    117 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:2
    161 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-raid5
    200 root      20   0       0      0      0 S   0.0   0.0   0:00.01 jbd2/vda1-8
    201 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-ext4-
    272 root      19  -1   41896  14432  13348 S   0.0   0.7   0:00.50 systemd-journal
    292 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kmpat
    293 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kmpat
    326 root      rt   0  290144  26232   7448 S   0.0   1.3   0:00.16 multipathd
    333 root      20   0   25380   7108   4520 S   0.0   0.4   0:00.43 systemd-udevd
